INTENSIDAD,TENSION,T1,T2,SOC
32.00411994,3.37102312,39.569,38.16726,22.46232004
-31.9972076,3.1793698,39.02282,37.71649,74.47006462
0,3.34264134,40.43578,39.08067,99.84486965
-31.9972076,3.14946212,38.12042,36.87426,52.28163636
-31.99490349,3.11711299,37.97793,36.68446,37.86496868
-31.99951171,3.22301061,39.78273,38.46382,95.31767011
31.9972076,3.54070344,40.82761,39.40095,94.48522333
31.9972076,3.41008621,39.27216,38.02491,34.28089491
0,2.86655985,41.74189,40.42112,0.292987095
31.99951171,3.38353552,39.45027,38.09609,25.00369008
31.99951171,3.38414588,39.40277,38.04864,25.01195474
-31.9972076,3.21538109,39.66399,38.26216,91.37756045
